"","term","content","mycoID","internal_variable_num"
"549","NAME ORIGIN","  means 'shining white'",31,9
"550","SIMILAR","  Disciseda subterranea has larger spores, 5.5-9.5 microns, (Coker). Disciseda subterranea has a grayish to bluish gray spore case and larger spores, (Arora). Several other Disciseda species may be found. The herbarium at New York Botanical Garden lists 7 other species names from North America, including Disciseda bovista (Klotzsch) Henn. from Oregon (collection by Ellen Trueblood), (NYBG), and Zeller(3) describes another 5 species names from western North America outside the Pacific Northwest.",31,10
"551","SOURCES","  Coker(3), Smith(4), Arora(1), Miller(14)*, Zeller(3) (discussing Disciseda), Bates(1)*, NYBG(1) (accessed Sep. 25, 2004), http://herbarium.lsa.umich.edu accessed October 9, 2004",31,11
"552","MUSHROOM_ID","31",31,12
"553","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",31,13
"554","LATIN NAME(S)","  Disciseda subterranea  (Peck) Coker & Couch^  The Gasteromycetes of Eastern United States and Canada p.141. 1928;  Bovista subterranea  Peck",31,14
"555","ENGLISH NAME(S)",NA,31,15
"556","NOTES","  Disciseda fruitbodies develop ""just beneath the surface of the ground or partly exposed, at maturity breaking free of the ground, flipping over and opening by a (now) apical pore (typically marking the point of attachment of the growing fruiting body)"", (Smith). When the upper part of the sloughs off, leaving the inner layer to form the top, a flattened acorn appearance results. Features of this species are 1) small size, 2) an outer layer that falls away to its full diameter in the upper part, leaving a papery unpolished bluish to glaucous gray inner layer, 3) opening by a special pore with an elevated, entire to lobed margin, and 4) growth on soil in pastures.^ The description is derived from Ramsey(1). RANGE It has been reported from ID, (Ramsey), and from WA, CO, and WY, (Arora). The New York Botanical Garden lists collections from ID and OR (by Ellen Trueblood), WA, AZ, CA, and other states, (NYBG). The University of Michigan lists collections additionally from CO, MI, and MN.",31,16
"557","CHEMICAL REACTIONS",NA,31,17
"558","OUTER SURFACE","  up to 2cm across, 1cm high, depressed-spherical, covering 2-layered, the outer falling away to full diameter, exposing the upper half of the inner layer to give the impression of a flattened acorn (the lower half of the sand-colored or soil-colored outer layer persisting)",31,18
"559","INNER LAYER","  papery, thin, tough; unpolished bluish to glaucous gray over a dull ground color; opening by a special pore with elevated, entire to lobed margin",32,1
"560","SPORE MASS",NA,32,2
"561","STEM",NA,32,3
"562","ODOR",NA,32,4
"563","TASTE",NA,32,5
"564","EDIBILITY",NA,32,6
"565","HABITAT","  gregarious to single, on soil in pastures, summer and fall",32,7
"566","SPORE DEPOSIT",NA,32,8
"567","MICROSCOPIC","  the genus has round warted spores 4-5.3 microns in diameter^ and capillitium of short-branched non-pitted elements, (Miller)",32,9
"568","NAME ORIGIN","  means 'underground'",32,10
"569","SIMILAR","  Disciseda candida has smaller spores, 3.6-5 microns, (Coker). Several other Disciseda species may be found. The New York Botanical Garden lists 7 other species names from North America, (NYBG), and Zeller(3) describes another 5 species names from western North America outside the Pacific Northwest.",32,11
"570","SOURCES","  Ramsey(1), Arora(1), Coker(3), Zeller(3) (discussing Disciseda), Smith(4) (discussing Disciseda), Miller(12) (discussing Disciseda), NYBG(1) (accessed Sep. 25, 2004), http://herbarium.lsa.umich.edu accessed October 9, 2004",32,12
"571","MUSHROOM_ID","32",32,13
"572","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",32,14
"573","LATIN NAME(S)","  Gastropila fumosa  (Zeller) P. Ponce de Leon  Phytologia 33(7): 458. 1976;  Calvatia fumosa  Zeller^  Mycologia 39: 300. 1947;  Handkea fumosa  (Zeller) Kreisel",32,15
"574","ENGLISH NAME(S)","  smoky puffball",32,16
"575","NOTES","  Features include 1) medium size, 2) grayish to brownish color (white where covered by duff), the surface smooth or sometimes becoming finely areolate [cracked like dried mud], 3) a peridium that is hard, thick, and quite persistent with the two layers adherent, 4) a spore mass that is white at first, then yellowish or olive, then dark brown and powdery, 5) sterile base lacking or rudimentary, the base with a cord-like rhizomorph, 6) unpleasant odor, and 7) growth under spruce, fir, and other mountain conifers, in spring through early fall.^ Calvatia fumosa Zeller was renamed Handkea fumosa (Zeller) Kreisel in 1989 but this genus was not accepted by Demoulin according to Ainsworth & Bisby's Dictionary of the Fungi 9th Edition, and the 10th Edition synonymizes Handkea with Lycoperdon Pers. following Larson & Jeppson 2008. A variety idahoensis A.H. Sm. in Zeller & Smith Lloydia 27: 156. 1964 (differing ""in the more yellow brown gleba as dried, in the isodiametric to irregular shape of the pits, and the more frequent branching of the capillitial threads"") is not accepted by Kreisel on the basis that its capillitium has isodiametric to irregular, not with slit-like pits. RANGE Collections of C. fumosa var. fumosa (here considered Gastropila fumosa) were examined from WA, OR, ID, WY, (Zeller(13)), and CA (Zeller(3)). It is common in the western United States (Arora).",32,17
"576","CHEMICAL REACTIONS",NA,32,18
"577","OUTER SURFACE","  3-8(10)cm across, irregularly nearly spherical to depressed spherical or pulvinate [cushion-shaped], 'white when in the duff, then smoke gray to hair brown to ""sepia"" to ""Saccardo's umber"" after exposure to light', ""smooth to slightly furfuraceous at first"", becoming irregularly wrinkled to pleated in drying, sometimes in dry situations rimose [cracked] or areolate [cracked like dried mud], ""the areolae small and flat-topped""; peridium thick (0.1-0.2cm) ""of two layers almost inseparable but sometimes quite apparent, very hard and persistent, chalky white throughout except for the darker surface cutis""^, (Zeller(13)), 3-8(10)cm across, spherical to ovoid, outer and inner layers of peridium adherent to each other, thick (0.1-0.5cm thick) and persistent; white becoming grayish to brownish; smooth, often becoming areolate [cracked like dried mud], the undersurface and the cracks white; peridium ""seldom disintegrates of its own accord but rodents are apparently fond of chewing on it, thus enabling the spores to escape"", (Arora), may be smooth and white at first, but soon light to medium gray, ""developing very shallow depressions, bumps, or cracks with maturity"", thick persistent wall breaks irregularly to release spores, (McKnight), smoke gray to umber brown where exposed to light; smooth to slightly furfuraceous or rarely inconspicuously areolate [cracked like dried mud], (Smith)",33,1
"578","INNER LAYER",NA,33,2
"579","SPORE MASS","  firm and white at first, then yellowish or olive, finally dark brown and powdery^, (Arora), 'passing through colors from ""Saccardo's olive"" to ""mummy brown""'; becoming very powdery, (Zeller(13))",33,3
"580","STEM","  sterile base lacking or rudimentary; with a cord-like rhizomorph^, (Zeller(13))",33,4
"581","ODOR","  often unpleasant, a combination of sour milk, diesel oil and pit toilet^, (Ramsey)",33,5
"582","TASTE","  bitter according to Orson Miller^ (Arora)",33,6
"583","EDIBILITY","  unknown (McKnight)",33,7
"584","HABITAT","  single to gregarious under spruce and fir in the mountains, summer and early fall^, (Zeller), single to gregarious ""in duff (sometimes buried) under spruce, fir, and other mountain conifers"", (Arora), spring and summer (Trudell)",33,8
"585","SPORE DEPOSIT",NA,33,9
"586","MICROSCOPIC","  spores (4.4)5-7.7 x (4.4)5-7.7 microns, round to nearly round, ""echinate to verruculose (usually strongly ornamented when mature)"", ochraceous tawny in Melzer's reagent, dark olive-brown in KOH, often with one droplet, pedicel evident^; capillitial threads 2.2-18 microns wide, mostly 4-11 microns wide, ""usually in long segments, sparsely branched and not much interwoven, branches Y-shaped or acutely angled, some attenuated into very slender subacute tips, aseptate"", ""walls even, irregular or with knob-like projections, about 1-1.5 microns thick, breaking into segments with jagged edges, dark olive-brown to dark reddish brown in KOH"", ochraceous tawny in Melzer's reagent, ""pits slit-like, occasional to abundant"", (Zeller(13)), spores with short pedicel, 5-7 microns, (Zeller(3))",33,10
"587","NAME ORIGIN","  means 'smoky'",33,11
"588","SIMILAR","  Gastropila hesperia is white to grayish, grows mostly in open places, and has smooth spores, (Arora as Calvatia hesperia). Calvatia pachyderma is larger, whitish when young, grows in open, cultivated, and arid places, and has smooth to minutely warted spores, (Arora).",33,12
"589","SOURCES","  Zeller(13) (as Calvatia fumosa), Arora(1)* (as Calvatia fumosa), Zeller(3) (as Calvatia fumosa), Smith(4) (as Calvatia fumosa), Trudell(4)* (as Calvatia fumosa), McKnight(1)* (as Calvatia fumosa), Kreisel(2) (as Calvatia fumosa), Ramsey(1) (as Calvatia fumosa), Desjardin(6)* (as Calvatia fumosa)",33,13
"590","MUSHROOM_ID","33",33,14
"591","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",33,15
"592","LATIN NAME(S)","  Gastropila hesperia  (Morgan) P. Ponce de Leon^  Phytologia 33(7): 460 (1976);  Calvatia hesperia  Morgan  J. Cincinnati Soc. Nat. Hist. 18: 39. 1895;  Handkea hesperia  (Morgan) Kreisel",33,16
"593","ENGLISH NAME(S)",NA,33,17
"594","NOTES","  Features include 1) medium sized fruitbody that is nearly spherical, and colored white to pearly gray, 2) a hard leathery surface, with thin outer and inner layers that are closely knit and that break up to release the spores, 3) a spore-mass that is clay-color to greenish yellow becoming olivaceous or chocolate brown and powdery, 4) absent sterile base, 5) nearly round or somewhat ovoid spores^. The description is derived from Zeller(13) except where specified. Gastropila hesperia was renamed Handkea hesperia (Morgan) Kreisel in 1989 but this genus not accepted by Demoulin according to Ainsworth & Bisby's Dictionary of the Fungi 9th Edition. P. Ponce de Leon renamed it Gastropila hesperia (Morgan) P. Ponce de Leon in 1976. RANGE Gastropila hesperia is rare. There are four collections from ID (2 Canyon County, 2 Owyhee County), and it also occurs in CA, (Ramsey). Kreisel says it is only known from Pasadena CA.",33,18
"595","CHEMICAL REACTIONS",NA,34,1
"596","OUTER SURFACE","  4-8cm broad, nearly spherical, depressed; white to pearly gray; peridium of two layers knit closely together, hard, coriaceous (Scleroderma-like), even, exoperidium [outer layer] 0.018-0.02cm thick, colorless^, (Zeller), 4-8cm broad, less high; depressed globose; smooth to roughened leathery surface; white to pearly gray; layers of peridium adherent, cracking and breaking up slowly to release spores, (Ramsey)",34,2
"597","INNER LAYER","  0.058-0.062cm thick^, (Zeller)",34,3
"598","SPORE MASS","  entirely fertile, released by the breakup of the very persistent peridium; ""clay-color to greenish yellow, then becoming olivaceous or even chocolate brown, pulverulent"" [powdery]^, (Zeller), clay color to greenish yellow and finally chocolate; becoming powdery at maturity, (Ramsey)",34,4
"599","STEM","  sterile base absent^ (Smith, Ramsey)",34,5
"600","ODOR",NA,34,6
"601","TASTE",NA,34,7
"602","EDIBILITY",NA,34,8
"603","HABITAT","  collections in Canyon County on farmland, June and August, collections in Owyhee County in desert country with sagebrush and cheatgrass, December and January^, (Ramsey), along a street in sandy soil (Zeller, for California type)",34,9
"604","SPORE DEPOSIT",NA,34,10
"605","MICROSCOPIC","  spores 4.4-5.5(6.6) x 4-5 microns, nearly round or somewhat ovoid, very indistinctly warted (almost smooth), colorless envelope present, tawny in Melzer's reagent, tawny brown in KOH, pedicel present^; capillitium continuous with the hyphae of the peridium, threads 4.4-7.7 microns wide, ""more or less flexuous and interwoven with occasional branches, Y-shaped branches present, tips not attenuated (instead rather blunt), septate"", septa occasional, wall up to 2 microns thick, pitted, ""the pits slit-like or only partially perforating the wall, very occasional"", walls yellowish to tawny brown in KOH and Melzer's reagent; exoperidium a rind of small periclinal cells; endoperidium of loosely woven hyphae that are larger than the cells of the exoperidium, (Zeller), pits in capillitial threads pinhole-like, (Smith)",34,11
"606","NAME ORIGIN","  means 'western'",34,12
"607","SIMILAR","  See also SIMILAR section of Gastropila fumosa.",34,13
"608","SOURCES","  Zeller(13) (as Calvatia hesperia), Smith(4) (as Calvatia hesperia), Ramsey(1) (as Calvatia hesperia), Kreisel(2) (as Calvatia hesperia)",34,14
"609","MUSHROOM_ID","34",34,15
"610","FAMILY","  Geastraceae, Order Geastrales, Class Agaricomycetes, Phylum Basidiomycota",34,16
"611","LATIN NAME(S)","  Geastrum campestre  Morgan^  Am. Nat. 21: 1027. 1887 [as 'Geaster'] ;  Geastrum asperum  Lloyd (as Geaster)",34,17
"612","ENGLISH NAME(S)","  field earthstar",34,18
"613","NOTES","  {See also Earthstars Table.} The most important field characters are the asperulate surface of the spore sac and the sulcate [pleated] peristome, (Smith(49)). There are 6-12 rays which are hygroscopic. RANGE A collection from BC was deposited at the University of British Columbia and determined by Paul Kroeger. It is widely distributed through northern temperate regions (Pegler(4)).",35,1
"614","CHEMICAL REACTIONS",NA,35,2
"615","OUTER SURFACE","  expanded fruitbody about 2-5cm across, the exoperidium splitting about halfway into 7-10 rays, ""hygroscopic, rays spreading, usually arched when fresh and recurved at the tips, bending upwards onto the endoperidial body when dry""; outermost mycelial layer of rays persistent, binding debris; middle fibrous layer of rays whitish to pale gray-brown, not often exposed; innermost pseudoparenchymatous layer fleshy, at first pale brown, becoming darker when old, ""eventually dark brown and often longitudinally wrinkled, persistent, usually not cracking or peeling""^, (Pegler), small, spherical, ""submerged at first but becoming lifted up as it expands"", 2.5-4cm across when expanded, ""outer layer splitting past the middle or two-thirds of the distance to the base, becoming divided into 6 to 12 rays which usually have a layer of sand held to the under surface by a thin layer of mycelium, the rays expanded when wet and involute when dry, folding over or under the spore case in drying, fleshy layer chocolate color to umber, and soon wrinkled-rimose"", (Smith(49))",35,3
"616","INNER LAYER","  spore case 1.2-1.4cm across, more or less spherical or obovate; pale gray brown, usually densely covered in small warts that are often more prominent around the peristome [mouth], when old becoming worn and almost smooth; peristome conic, strongly plicate [pleated] with 15-20 grooves, ""clearly delimited, usually with a slight, circular ridge""^, (Pegler), spore case pale gray-brown, ""usually densely covered in small warts which are often more prominent around the peristome"", when old becoming worn and almost smooth; peristome (mouth) conic, strongly plicate with 15-20 grooves, clearly delimited, usually with a slight, circular ridge spores case 0.8-1.5cm in diameter, nearly spherical, ""color dingy but surface typically ashy gray from a coating of adnate asperulae causing the surface to feel rough; peristome prominent, conic, acute, seated on a more or less distinctly delimited zone, strongly sulcate and often dark-colored"", (Smith(49))",35,4
"617","SPORE MASS","  dark brown; columella hemispheric to cylindric, pale brown^, (Pegler), spore mass chocolate color (Smith(49))",35,5
"618","STEM","  spore case on short stem, stem about 0.1-0.2cm long, ""often flattened in cross-section"", ""whitish to brownish""^, (Pegler), sessile to short-pedicellate (Smith(49))",35,6
"619","ODOR",NA,35,7
"620","TASTE",NA,35,8
"621","EDIBILITY",NA,35,9
"622","HABITAT","  ""in parks and gardens; on calcareous, well-drained soil"", (Pegler(4) following Sunhede 1989), gregarious in sandy pasture, September and October (Smith(49))",35,10
"623","SPORE DEPOSIT",NA,35,11
"624","MICROSCOPIC","  spores (4.5)4.8-5.7 microns in diameter excluding ornamentation, 5.6-6.7 microns in diameter including ornamentation, ""verruculae isolated, irregular in outline"", 0.3-0.6 microns high, 0.3-1.2 microns wide^, ""This species seems to vary noticeably with regard to size and colour of the mature spores, and coarseness of the warts.""; basidia not seen, capillitial hyphae pale yellow to almost colorless, ""finely tapered, occasionally forked or lobed, thick-walled with a narrow lumen, smooth or partially encrusted"", (Pegler), spores 6-7.5 microns in diameter, round, very dark brown in KOH, coarsely asperulate with colorless plugs ""extending into a gelatinous matrix"", ""apedicellate or pedicel present only as a broken stump""; capillitial threads 3-5 microns wide, slightly flexuous, pale yellowish in KOH, walls thickened, no cross walls seen, rarely branched, (Smith(49))",35,12
"625","NAME ORIGIN","  means 'of the field'",35,13
"626","SIMILAR",NA,35,14
"627","SOURCES","  Pegler(4)*, Smith(49), Smith(4), Buczacki(1)*",35,15
"628","MUSHROOM_ID","35",35,16
"629","FAMILY","  Geastraceae, Order Geastrales, Class Agaricomycetes, Phylum Basidiomycota",35,17
"630","LATIN NAME(S)","  Geastrum corollinum  (Batsch) Hollos^  Gasterom. Ung. 65: 154. 1904;  Geastrum recolligens  (With.) Desv.;  Geastrum mammosum  Chevall. [as Geaster]",35,18
"631","ENGLISH NAME(S)","  weather earthstar, weathered earthstar",36,1
"632","NOTES","  {See also Earthstars Table.} Features include 1) size up to 7cm across when the outer covering of the fruitbody has expanded out into 6-10 star-like rays, 2) rays that are hygroscopic (expanding when moistened, curving over the spore case again when dried), 3) the outer mycelial coating of the rays flaking off in patches and not encrusting debris, 4) a spore case that is brown with lacerate / radially fimbriate peristome (mouth), 5) absent stalk, and 6) small round warty spores.^ RANGE Geastrum corollinum is found on range lands in southeastern OR and southwestern ID, (Ramsey). It is apparently common in southeastern ID, (Smith). It is widely distributed, including OR and MT, (Miller). The species is known throughout the United States, and has been reported from AZ, CO, HI, IA, NC, ND, NJ, NM, OH, TX, and WY, Europe, United Kingdom, and Mexico, (Bates).",36,2
"633","CHEMICAL REACTIONS",NA,36,3
"634","OUTER SURFACE","  at first when unopened onion-shaped, umbonate, 1-2.5cm across, 1-3cm high; 1.5-6cm across when expanded, the exoperidium splitting into 6-10(13) strongly hygroscopic rays, ""usually recurved under the fruitbody when damp"", turning upwards back over the spore case with drying; outermost mycelial layer of rays ""pale brown, with inner whitish layer which is soon exposed and eventually flakes off in patches"", middle fibrous layer of rays when exposed pale gray-brown, ""often with longitudinal striae"", innermost pseudoparenchymatous layer of rays persistent, 0.5-1.5 mm thick when fresh, grayish or pale brown, often dark brown when old, hard when dry^, (Pegler), 2-3.5cm, covered overall with a thin felt, soon bald, the exterior becoming whitish, fleshy layer smooth and very dark brown, (Smith), up to 3.5cm with rays expanded, rays three-layered, outer a thin felt soon bald, exterior (inferior) surface of rays whitish, bleaching to near white in desert sun, interior (upper) surface of rays dark brown, (Ramsey), 2-7cm broad when fully open, ""with 7-10 thin, hygroscopic rays which tightly close when dry"", (Miller)",36,4
"635","INNER LAYER","  spore case 1-1.8(2.4)cm across, more or less spherical, ""smooth or minutely pruinose"", usually grayish or pale brown; peristome (mouth) ""fibrillose, usually distinctly delimited""^, (Pegler), brown; peristome lacerate / radially fimbriate, (Smith), brown; peristome lacerate / fimbriate, (Ramsey), spore case 0.5-2.5cm across, oval, depressed, pale grayish pink, bald; ""peristome not distinct, pore raised, finely fibrillose"", (Miller)",36,5
"636","SPORE MASS","  dark brown, columella ""cylindric or clavate, whitish"", extending to about half the height of the spore mass^, (Pegler), whitish, turning dark brown when old, (Miller)",36,6
"637","STEM","  sessile^ (Pegler), none (Ramsey)",36,7
"638","ODOR","  none^ (Miller)",36,8
"639","TASTE","  unknown^ (Miller)",36,9
"640","EDIBILITY",NA,36,10
"641","HABITAT","  on well-drained soil, usually in hardwood woods or in hedgerows with hardwood shrubs^, (Pegler for Britain who say it is reported on juniper in Sweden), on waste land in arid regions (Smith), several to numerous, ""on ground among grasses, litter, and duff, often recorded near juniper""; summer and fall, (Miller)",36,11
"642","SPORE DEPOSIT",NA,36,12
"643","MICROSCOPIC","  spores 3.6-4.5 microns in diameter excluding ornamentation, 4-5 microns in diameter including ornamentation, round, with a single droplet, dark brown, verruculose, verruculae 0.2-0.5 microns high, 0.5-0.1 micron wide and blunt, irregular^; capillitial hyphae 5-9 microns wide, ""yellow-brown, thick-walled, with narrow, discontinuous lumen, surface smooth or encrusted"", ""gradually tapered to subacute ends"", (Pegler(4)), spores 3.5-4.2 microns, verrucose; capillitial threads 5-7 microns wide, nearly solid, (Smith), spores 4.0-5.5 microns, round, with blunt warts 0.5 microns high, inamyloid, brown, thick-walled, (Miller)",36,13
"644","NAME ORIGIN","  means 'gathering again'",36,14
"645","SIMILAR","  Geastrum floriforme has a peristome that is not distinctly delimited, the outermost mycelial layer of the rays bind debris, and spores are larger, (Pegler(4)). G. floriforme is also hygroscopic and small: it has a whitish rather than brownish spore case, and a poorly formed peristome with radiating lines but no grooves and no well-defined area around it, (Ramsey(1)). G. floriforme is differentiated in a key on basis of the peristome not being sulcate (present merely as a puncture or slit), and the spore size given is also smaller for G. floriforme, (Smith(4)). Astraeus hygrometricus has thicker, checkered rays and a fibrillose spore case, (Miller(14)).",36,15
"646","SOURCES","  Pegler(4)*, Miller(14)*, Ramsey(1) (as Geastrum recolligens), Smith(4) (as Geastrum recolligens), Bates(1)*, Buczacki(1)*",36,16
"647","MUSHROOM_ID","36",36,17
"648","FAMILY","  Geastraceae, Order Geastrales, Class Agaricomycetes, Phylum Basidiomycota",36,18
"649","LATIN NAME(S)","  Geastrum coronatum  Pers.^  Syn. meth. fung. (Gottingen) 1: 132. 1801 (not G. coronatum (Schaeff.) Schroet.);  Geastrum limbatum  Fr.",37,1
"650","ENGLISH NAME(S)","  crowned earthstar",37,2
"651","NOTES","  {See also Earthstars Table.} Features include 1) a fruitbody 4.5-8cm or more across when the outer covering of the fruitbody has expanded out into 7-12 star-like non-hygroscopic rays, leaving the exterior of the rays encrusted with debris, 2) an inner flesh layer whitish to dark brown but not pinkish, 3) a pale brown to dark brown spore case on a stalk, 4) opening by a distinct cone-shaped peristome that is fibrillose, sometimes with a paler margin, and 5) spores that are round and warty.^ The use of this name is complicated. Pegler(4) synonymizes Geastrum limbatum Fr. with Geastrum coronatum Pers. To simplify somewhat we have kept separate the descriptions given for the name Geastrum limbatum sensu Bresadola, although it is not clear that a different species is being described. Geastrum coronatum (Schaeff.) Schroet. is a different taxon however, which Breitenbach(2) give as a synonym of Geastrum quadrifidum Pers.: Pers. Pegler(4) give Lycoperdon coronatum Scop. as a synonym of Geastrum quadrifidum Pers. and selects the Breitenbach(2) photograph as illustrative of the species. Bates(1) gives both synonymies. To complicate things further, Smith(49) uses the name Geastrum coronatum Pers. for what is eventually called Geastrum quadrifidum (see that species). RANGE A collection from BC at the University of British Columbia was collected by T. Goward and determined by S. Redhead as G. coronatum, but it not clear which sense is being used. Another collection at the University of British Columbia was collected from BC by Trevor Goward and determined by Scott Redhead as Geastrum pseudolimbatum. G. pseudolimbatum Hollos is a homotypic synonym of Geastrum coronatum f. pseudolimbatum (Hollos) Dorfelt & Mull.-Uri, according to the online Species Fungorum, accessed September 6, 2012.",37,3
"652","CHEMICAL REACTIONS",NA,37,4
"653","OUTER SURFACE","  at first underground, rising above the ground, 1.5-4cm across, nearly spherical or somewhat depressed, encrusted with debris; expanded fruitbody 4.5-8(10)cm across, the exoperidium split into 7-12 non-hygroscopic rays; outermost mycelial layer of rays ""encrusted with soil and debris, occasionally left as a cup-like structure in the ground""; middle fibrous layer of the rays grayish white when exposed; innermost pseudoparenchymatous layer of rays fleshy, up to 0.5cm thick, ""whitish or pale brown, becoming dark brown, but not pinkish, drying to leave irregular, net-like remains""^, (Pegler), splitting into 5-10 pointed rays, (Buczacki)",37,5
"654","INNER LAYER","  spore case 1.9-2.8(3.4)cm in diameter, more or less spherical or depressed, ""at first pale brown with a thin, felty layer of hyphae"", but not erect hairs, becoming almost smooth and darker, gray-brown to blackish; peristome [mouth] fibrillose ""fibrillose, circular or broadly ellipsoid, sometimes with a paler margin, distinctly delimited or not""^, (Pegler)",37,6
"655","SPORE MASS","  spore mass dark brown when mature, often with a purple tinge; columella ""whitish, cylindric to clavate or irregular in form""^, (Pegler)",37,7
"656","STEM","  spore case with a stalk^ (Pegler)",37,8
"657","ODOR",NA,37,9
"658","TASTE",NA,37,10
"659","EDIBILITY",NA,37,11
"660","HABITAT","  various, usually on well-drained soil, often in hedgerows^, (Pegler for Britain), usually in small, trooping or +/- tufted groups, fall, (Buczacki)",37,12
"661","SPORE DEPOSIT",NA,37,13
"662","MICROSCOPIC","  spores 4.5-5.5 microns in diameter, excluding ornamentation, 5-6.2(6.5) microns in diameter with ornamentation, round, dark brown, verruculose, verruculae 0.3-0.6 microns high, often partly coalescent, 0.5-1(1.5) microns wide^; basidia not seen; capillitial hyphae pale yellowish brown, thick-walled, ""with narrow, discontinuous lumen, gradually tapered to the tips, partially finely encrusted, especially towards the tips"", (Pegler), spores 3.5-4.5 microns excluding warts (Buczacki)",37,14
"663","NAME ORIGIN","  means ""crowned""",37,15
"664","SIMILAR","  Geastrum fimbriatum is smaller with a usually sessile fruitbody (stalk of spore case usually absent), (Pegler(4)). Geastrum rufescens has ""minutely puberulent"" spore case surface, and smaller spores, (Pegler(4)). Geastrum minimum is smaller with paler spore case, a usually distinctly delimited peristome, and slightly larger spores, (Pegler(4)).",37,16
"665","SOURCES","  Pegler(4)*, Buczacki(1)*, Breitenbach(2), Bates(1), Smith(49)",37,17
"666","MUSHROOM_ID","37",37,18
"667","FAMILY","  Geastraceae, Order Geastrales, Class Agaricomycetes, Phylum Basidiomycota",38,1
"668","LATIN NAME(S)","  Geastrum fimbriatum  Fr.^  Syst. mycol. (Lundae) 3(1): 16. 1829",38,2
"669","ENGLISH NAME(S)","  sessile earthstar",38,3
"670","NOTES","  {See also Earthstars Table.} ""For purposes of field identification, G. fimbriatum might be regarded as an example of G. saccatum, without a line delimiting the mouth of the spore sac. There are other characters, such as the smaller spores which distinguish it."" (Smith(49), Latin names italicized). Features include 5-9 non-hygroscopic rays, stemless or very short-stalked spore case, fibrillose peristome (mouth), comparative pale spore mass with pale capillitial hyphae, and small finely verruculose spores (Pegler(4)). RANGE A collection from BC by A. McKinnon was deposited at the University of British Columbia and determined by P. Kroeger. Another BC collection at the University of British Columbia was collected by R. Winder and O. Ceska and determined by O. Ceska. Schalkwijk-Barendsen(1) lists the species for AB.",38,4
"671","CHEMICAL REACTIONS",NA,38,5
"672","OUTER SURFACE","  developing underground, more or less spherical to ovate, sometimes slightly umbonate, encrusted with debris; 2.1-5.8cm across when expanded, splitting about halfway into 5-9 non-hygroscopic rays, ""rays arched and commonly recurved under the fruitbody""; outermost mycelial layer of rays ""persistent or peeling off, encrusting soil and debris"", middle fibrous layer of rays exposed when old ""or by separation of mycelial layer when dry, rather papery, whitish to cream"", innermost pseudoparenchymatous layer ""whitish at first, becoming pale brown or yellowish brown"", darker when old, ""often splitting or partly peeling off""^, (Pegler), 0.8-2cm across before opening, the outer mycelial layer pallid to buff, forming a thin fibrillose coating, ""outer wall splitting into 5 to 8(12) rays which have acute tips, sinuses extending down for about half the diameter of the fructification leaving the spores sac nestled in a bowllike base, the rays finally recurved back to almost touching the exterior of the bowl""; ""mycelial layer tending to peel or flake off leaving the smooth pallid fibrous layer exposed""; fleshy layer much as in Geastrum saccatum, ""when dried a thin, tan to dull brown coating over bowl, tending to become rimose at juncture with rays and on their surfaces"", (Smith(49))",38,6
"673","INNER LAYER","  spore case 0.9-2.5cm across, more or less spherical or depressed, pale gray-brown or buff, minutely puberulent with protruding, colorless or pale yellowish hairs; peristome [mouth] fibrillose, not distinctly delimited^, (Pegler), spore case spherical with a conic mouth 0.8-1.5cm in diameter, unpolished, tan to dark brown; mouth fibrillose, not distinctly marked off from the rest of the spore case ""but in some with a slightly different color or sheen"", (Smith(49)), the mouth area may sometimes be paler, but there is no structural boundary, (Coker)",38,7
"674","SPORE MASS","  pale brown to brown when mature; columella ""narrowly clavate, whitish""^, (Pegler), fuscous brown (Smith(49))",38,8
"675","STEM","  spore case sessile [without a stalk] or with a very short stalk^, (Pegler)",38,9
"676","ODOR",NA,38,10
"677","TASTE",NA,38,11
"678","EDIBILITY",NA,38,12
"679","HABITAT","  in hardwood or conifer woodland, ""or in parks or gardens associated with trees, usually on calcareous soil""^, (Pegler), scattered on rich humus in low woods of hardwood trees, (Smith(49))",38,13
"680","SPORE DEPOSIT",NA,38,14
"681","MICROSCOPIC","  spores 3-3.7 microns in diameter excluding ornamentation, 3.3-4 microns including ornamentation, round, ""yellow-brown, finely verruculose"", verruculae 0.1-0.3 microns high, about 0.2-0.5 microns wide, fine, isolated^; basidia not seen; capillitial hyphae 2.5-7 microns wide, walls thickened, pale yellowish to almost colorless, finely tapered to the tips, ""smooth or finely encrusted, especially towards the tips""; spore case with hairs that are hyphae 30-160 x 10-20 microns, cylindric-clavate, hyaline or pale yellowish, with thickened, refractive walls, (Pegler), spores 3-3.5 microns in diameter, round, with a very thin colorless envelope and minute projections extending into it, dark brown; capillitial threads 4-7 microns wide, nearly colorless (both in KOH and in iodine), very thick-walled, unbranched; forma pallidum has colorless spores and capillitium, (Smith(49))",38,15
"682","NAME ORIGIN","  means 'fringed'",38,16
